,0
2251,22903
2252,8205
2253,23546
2254,35860
2255,17934
2256,28063
2257,21762
2258,23083
2259,5607
2260,34022
2261,44500
2262,3638
2263,29968
2264,50205
2265,18527
2266,24602
2267,29048
2268,12543
2269,53058
2270,70093
2271,24799
2272,46689
2273,5449
2274,5401
2275,15593
2276,15562
2277,41009
2278,21876
2279,10103
2280,12497
2281,21845
2282,20753
2283,43405
2284,18099
2285,17206
2286,15000
2287,16160
2288,12514
2289,32175
2290,22183
2291,38009
2292,36788
2293,36562
2294,20042
2295,49943
2296,41079
2297,21651
2298,42946
2299,19315
2300,47255
2301,36694
2302,33739
2303,47443
2304,34528
2305,43537
2306,49388
2307,5877
2308,6033
2309,22897
2310,16582
2311,23907
2312,15328
2313,6991
2314,22049
2315,25176
2316,39671
2317,8389
2318,52396
2319,28028
2320,56749
2321,41852
2322,20776
2323,50132
2324,26419
2325,22840
2326,28454
2327,45943
2328,46463
2329,23311
2330,23680
2331,36130
2332,33528
2333,5740
2334,71987
2335,26764
2336,51057
2337,13129
2338,36088
2339,24518
2340,5405
2341,51329
2342,13711
2343,33335
2344,9979
2345,22449
2346,31360
2347,8997
2348,17926
2349,51966
2350,16000
2351,25940
2352,22405
2353,18288
2354,20233
2355,69626
2356,33935
2357,31625
2358,18241
2359,50430
2360,19703
2361,41474
2362,43346
2363,23461
2364,36467
2365,24344
2366,19520
2367,9892
2368,68524
2369,20415
2370,11218
2371,49219
2372,59163
2373,8292
2374,21476
2375,25392
2376,5353
2377,11416
2378,17142
2379,4399
2380,11122
2381,26149
2382,5408
2383,35087
2384,41031
2385,24819
2386,19835
2387,23144
2388,31046
2389,10430
2390,34255
2391,45409
2392,12042
2393,24607
2394,6404
2395,9287
2396,36397
2397,20225
2398,35346
2399,37391
2400,22589
2401,27145
2402,47208
2403,14477
2404,33443
2405,13190
2406,37505
2407,6175
2408,19012
2409,29830
2410,15720
2411,45774
2412,21461
2413,17424
2414,13734
2415,22156
2416,7794
2417,24455
2418,28491
2419,7215
2420,41673
2421,26747
2422,10164
2423,21795
2424,12715
2425,50997
2426,21989
2427,69231
2428,39132
2429,15840
2430,16088
2431,46518
2432,18687
2433,35375
2434,9114
2435,30857
2436,50035
2437,36842
2438,30645
2439,35974
2440,4954
2441,34355
2442,23368
2443,9552
2444,20895
2445,55509
2446,7832
2447,35968
2448,9562
2449,22344
2450,21067
2451,33571
2452,19664
2453,30475
2454,34908
2455,25432
2456,22476
2457,48512
2458,48295
2459,33314
2460,11976
2461,21630
2462,20022
2463,31473
2464,15764
2465,10369
2466,21137
2467,10208
2468,35074
2469,10735
2470,34279
2471,19277
2472,10055
2473,31951
2474,23650
2475,40807
2476,10857
2477,22102
2478,37001
2479,47432
2480,56338
2481,17829
2482,27317
2483,46744
2484,45327
2485,51665
2486,46377
2487,46818
2488,19616
2489,32765
2490,53675
2491,15371
2492,49804
2493,44683
2494,18672
2495,14463
2496,38623
